,mean,std,median,min,max
XGBoost,0.7233,0.0524,0.7175,0.6102,0.8234
FT-Entmax,0.701,0.0656,0.7037,0.4984,0.8231
FT-Softmax,0.7008,0.0656,0.7068,0.4691,0.821
LSSVM (Standard),0.6993,0.0527,0.7012,0.595,0.798
LSSVM-Nystrom,0.6989,0.054,0.699,0.5946,0.7904
FT-CUR,0.6979,0.0797,0.7164,0.4234,0.8219
LSSVM-IP,0.6942,0.0509,0.7008,0.5854,0.7951
FT-Sparsemax,0.694,0.0652,0.6981,0.5284,0.8218
FT-TopK,0.6909,0.0702,0.6969,0.4691,0.8169
SAINT,0.6892,0.085,0.7014,0.4377,0.8209
LSSVM-PCP,0.6891,0.0531,0.6982,0.5737,0.7895
LSSVM-DualFISTA,0.684,0.0545,0.6848,0.5763,0.7838
ADMM-Nystrom,0.6805,0.056,0.6846,0.555,0.7774
LSSVM-FSA,0.6764,0.0517,0.6888,0.547,0.7579
FISTA-Nystrom,0.6736,0.0542,0.6762,0.5644,0.7786
